meeting_id,category,subcategory,meeting_lat,meeting_lng,time_slot,location_type,vibe,expected_cost,max_participants,avg_sentiment_score,positive_review_ratio,negative_review_ratio,review_sentiment_variance
1,문화예술,전시회,37.65608897855839,126.8967710912477,afternoon,indoor,창의적인,5380,5,0.685,0.66,0.34,0.314
2,스터디,코딩,37.55360543800264,127.19689676594444,evening,indoor,진지한,5220,5,0.669,0.569,0.431,0.337
3,스터디,영어회화,37.54108886680747,126.81159869773438,evening,indoor,진지한,5518,7,0.684,0.661,0.339,0.317
4,취미활동,베이킹,37.69836774218293,126.96802891810088,afternoon,indoor,여유로운,27440,6,0.687,0.644,0.356,0.283
5,맛집,중식,37.65830264639241,127.04624975867326,evening,indoor,여유로운,32380,6,0.712,0.675,0.325,0.342
6,카페,베이커리,37.59472418060567,126.94009464573082,morning,indoor,감성적인,11339,6,0.675,0.581,0.419,0.358
7,맛집,이자카야,37.67504197342244,127.02406875822696,afternoon,indoor,여유로운,34835,6,0.708,0.689,0.311,0.317
8,소셜,볼링,37.46429002169686,127.03404866437086,evening,indoor,활기찬,24075,4,0.697,0.672,0.328,0.293
9,취미활동,쿠킹,37.64312987407195,127.07588061394476,evening,indoor,여유로운,28962,7,0.681,0.62,0.38,0.275
10,문화예술,공연,37.64953559005555,127.19218831911324,evening,indoor,창의적인,5194,4,0.71,0.745,0.255,0.306
11,소셜,보드게임,37.41556462327819,127.17689348779646,evening,indoor,즐거운,24150,4,0.666,0.543,0.457,0.291
12,맛집,이자카야,37.50155799041805,126.80820464120936,evening,indoor,여유로운,28287,5,0.706,0.686,0.314,0.325
13,취미활동,그림,37.58861641610768,127.02149129255936,evening,indoor,여유로운,29645,9,0.64,0.51,0.49,0.306
14,취미활동,베이킹,37.4058567712094,127.1322758420792,afternoon,indoor,창의적인,34493,7,0.662,0.526,0.474,0.329
15,스포츠,요가,37.57125590766329,127.01082837540538,morning,outdoor,활기찬,6152,14,0.656,0.5,0.5,0.31
16,취미활동,쿠킹,37.57829952017798,127.03744421777856,evening,indoor,창의적인,17469,7,0.653,0.554,0.446,0.316
17,카페,베이커리,37.52626317492296,127.0908417796234,afternoon,indoor,감성적인,12060,5,0.669,0.573,0.427,0.316
18,취미활동,플라워,37.42640180825344,127.15741383339936,evening,indoor,창의적인,21267,7,0.67,0.577,0.423,0.295
19,문화예술,전시회,37.65907310094175,127.17170439007916,evening,indoor,감성적인,22278,9,0.689,0.623,0.377,0.333
20,스터디,코딩,37.6961247092018,127.0227522360592,evening,indoor,진지한,2224,5,0.684,0.652,0.348,0.293
21,스터디,코딩,37.40159725717132,127.02592766515455,evening,indoor,진지한,2713,7,0.685,0.667,0.333,0.33
22,맛집,중식,37.56859440248792,126.88570217373729,evening,indoor,여유로운,34623,6,0.677,0.652,0.348,0.328
23,소셜,볼링,37.53516096172012,126.80465795980125,evening,indoor,즐거운,21627,4,0.653,0.538,0.462,0.338
24,스터디,영어회화,37.62088396963503,127.02853581138125,evening,indoor,진지한,534,4,0.68,0.667,0.333,0.285
25,문화예술,전시회,37.58231273354958,126.9575911315669,afternoon,indoor,창의적인,8364,7,0.689,0.667,0.333,0.289
26,문화예술,공방체험,37.61613011066773,127.0575082432405,evening,indoor,감성적인,20097,4,0.692,0.633,0.367,0.301
27,맛집,일식,37.5835712254302,126.94940786569268,afternoon,indoor,힐링,35893,7,0.686,0.663,0.337,0.314
28,맛집,이자카야,37.57630834085939,126.90087279272772,afternoon,indoor,힐링,23509,6,0.679,0.57,0.43,0.331
29,문화예술,공방체험,37.42897660474836,127.18070620645692,afternoon,indoor,감성적인,12478,7,0.685,0.636,0.364,0.28
30,맛집,이자카야,37.41236834419972,126.90031933404478,afternoon,indoor,여유로운,36303,5,0.685,0.622,0.378,0.341
31,스포츠,러닝,37.52069286013744,126.8646391823832,morning,outdoor,활기찬,7606,13,0.679,0.605,0.395,0.316
32,취미활동,그림,37.42516938818867,126.82091054890888,afternoon,indoor,여유로운,16484,6,0.684,0.617,0.383,0.324
33,취미활동,그림,37.57959115364896,126.91701617139265,evening,indoor,즐거운,30895,7,0.678,0.654,0.346,0.31
34,소셜,당구,37.49167293779835,127.00705557427575,evening,indoor,즐거운,17614,9,0.675,0.63,0.37,0.253
35,취미활동,쿠킹,37.437523468044894,126.81659972175429,evening,indoor,여유로운,19884,6,0.687,0.653,0.347,0.288
36,스포츠,요가,37.53628121730813,127.08782336530618,evening,outdoor,에너지 넘치는,8461,6,0.653,0.523,0.477,0.311
37,취미활동,플라워,37.528921102678936,126.96993229465733,evening,indoor,창의적인,15600,5,0.681,0.591,0.409,0.322
38,스터디,독서토론,37.52970679764403,127.19667978440742,evening,indoor,진지한,7420,7,0.709,0.708,0.292,0.311
39,소셜,볼링,37.412235504030654,126.92600331007591,evening,indoor,즐거운,14389,8,0.66,0.56,0.44,0.295
40,맛집,일식,37.67674966889075,127.14106646124068,evening,indoor,여유로운,24818,7,0.687,0.63,0.37,0.293
41,소셜,방탈출,37.47601943226781,127.0020112184595,evening,indoor,즐거운,15469,5,0.669,0.573,0.427,0.32
42,스포츠,배드민턴,37.55435808097467,126.84275411819564,morning,outdoor,에너지 넘치는,8360,7,0.666,0.615,0.385,0.3
43,문화예술,갤러리,37.41353476358044,127.17337640286834,afternoon,indoor,감성적인,19917,8,0.673,0.619,0.381,0.304
44,맛집,일식,37.6264820600475,126.93174140969998,afternoon,indoor,여유로운,24976,4,0.668,0.605,0.395,0.304
45,문화예술,공방체험,37.41241231474017,126.95155483613304,evening,indoor,창의적인,7041,5,0.664,0.573,0.427,0.307
46,소셜,보드게임,37.661631819123976,126.91557480666305,evening,indoor,즐거운,22214,9,0.69,0.609,0.391,0.317
47,문화예술,공연,37.57292166543609,127.11680125045208,afternoon,indoor,감성적인,19323,9,0.692,0.621,0.379,0.298
48,맛집,한식,37.63990352409608,126.97312062449052,afternoon,indoor,여유로운,21640,5,0.681,0.568,0.432,0.342
49,스터디,재테크,37.56200875767821,126.98441342723912,evening,indoor,진지한,2607,7,0.666,0.615,0.385,0.304
50,취미활동,플라워,37.6957974716512,127.17510582372728,evening,indoor,즐거운,32782,9,0.673,0.581,0.419,0.292
51,취미활동,그림,37.66407439834267,127.1843616616516,evening,indoor,창의적인,29383,6,0.696,0.657,0.343,0.332
52,맛집,양식,37.47499962056715,127.01404820306936,evening,indoor,여유로운,31981,5,0.671,0.578,0.422,0.307
53,취미활동,플라워,37.56566668405216,127.06438952825988,evening,indoor,창의적인,22197,7,0.685,0.638,0.362,0.319
54,맛집,중식,37.57878438523778,126.81254462752185,afternoon,indoor,힐링,30823,7,0.732,0.723,0.277,0.305
55,소셜,방탈출,37.52214928954014,126.96367865751428,evening,indoor,활기찬,21767,5,0.692,0.626,0.374,0.325
56,문화예술,공연,37.44043573547523,126.99843019140022,afternoon,indoor,창의적인,7522,5,0.715,0.73,0.27,0.307
57,소셜,보드게임,37.49547649918382,126.89602786124289,evening,indoor,활기찬,23634,5,0.671,0.54,0.46,0.307
58,취미활동,쿠킹,37.50005370609886,126.88758805084233,afternoon,indoor,창의적인,20539,6,0.673,0.607,0.393,0.316
59,카페,베이커리,37.48128896236137,126.91425063987344,morning,indoor,힐링,18554,7,0.66,0.556,0.444,0.3
60,취미활동,쿠킹,37.58654736937713,127.04054384291136,afternoon,indoor,여유로운,26806,8,0.696,0.606,0.394,0.317
61,카페,카페투어,37.45744802297924,126.86692055199724,afternoon,indoor,여유로운,16719,4,0.699,0.682,0.318,0.332
62,취미활동,플라워,37.61854128366758,126.80002113077292,afternoon,indoor,창의적인,31284,7,0.683,0.733,0.267,0.272
63,문화예술,갤러리,37.68015763873572,127.12391541147524,evening,indoor,창의적인,6865,7,0.685,0.643,0.357,0.301
64,취미활동,플라워,37.44591277914915,127.00223433247376,evening,indoor,즐거운,32536,7,0.68,0.596,0.404,0.304
65,취미활동,플라워,37.54290148804831,127.17313848854413,afternoon,indoor,여유로운,25022,9,0.685,0.622,0.378,0.303
66,취미활동,쿠킹,37.5126132061698,126.89663400026834,evening,indoor,창의적인,30923,6,0.672,0.632,0.368,0.267
67,카페,베이커리,37.57895480020959,126.92726087432166,morning,indoor,감성적인,12469,5,0.688,0.635,0.365,0.309
68,스터디,재테크,37.42790911242227,127.03570693550267,evening,indoor,진지한,4256,7,0.681,0.62,0.38,0.292
69,문화예술,공연,37.53542230113007,127.00057896793668,afternoon,indoor,창의적인,13967,6,0.694,0.708,0.292,0.292
70,스포츠,러닝,37.54278266526432,126.84903326260287,evening,outdoor,활기찬,4540,13,0.657,0.562,0.438,0.288
71,카페,베이커리,37.40566426357287,126.84021214347672,afternoon,indoor,감성적인,16899,7,0.68,0.575,0.425,0.32
72,맛집,이자카야,37.65231349475377,127.00539918453674,evening,indoor,여유로운,20924,6,0.687,0.614,0.386,0.31
73,문화예술,전시회,37.53507955804899,126.87975232760424,afternoon,indoor,감성적인,5846,7,0.662,0.546,0.454,0.296
74,소셜,볼링,37.6630052640382,126.88652037611848,evening,indoor,활기찬,14908,7,0.658,0.56,0.44,0.303
75,취미활동,쿠킹,37.69685598785026,126.90502894857438,evening,indoor,즐거운,30445,6,0.699,0.719,0.281,0.301
76,카페,브런치,37.5899850446999,127.12428826917808,afternoon,indoor,감성적인,12964,4,0.662,0.545,0.455,0.327
77,스터디,재테크,37.4954489811268,126.88784761819171,evening,indoor,진지한,5419,6,0.68,0.626,0.374,0.315
78,소셜,당구,37.514330154083545,127.08778809252536,evening,indoor,즐거운,24647,4,0.678,0.619,0.381,0.305
79,소셜,당구,37.4239367370902,126.9671878174346,evening,indoor,활기찬,22379,9,0.67,0.653,0.347,0.312
80,스포츠,축구,37.65227715313204,127.05747169438288,evening,outdoor,에너지 넘치는,4673,9,0.668,0.584,0.416,0.322
81,맛집,이자카야,37.69071128789077,126.98691494327284,afternoon,indoor,여유로운,26120,5,0.677,0.653,0.347,0.319
82,스포츠,요가,37.66271511096768,127.12056672436346,evening,outdoor,에너지 넘치는,984,9,0.67,0.562,0.438,0.319
83,스포츠,요가,37.65396034793702,127.0020662846091,morning,outdoor,에너지 넘치는,1389,7,0.659,0.537,0.463,0.307
84,문화예술,공연,37.44942020266632,126.94054237386196,evening,indoor,감성적인,11997,6,0.69,0.68,0.32,0.293
85,스포츠,러닝,37.67125736226573,127.04086750775556,morning,outdoor,에너지 넘치는,7857,13,0.687,0.659,0.341,0.297
86,카페,카페투어,37.61761688049855,126.88386436884468,afternoon,indoor,힐링,19891,6,0.706,0.678,0.322,0.338
87,카페,브런치,37.68269028137036,127.10202728165264,morning,indoor,힐링,13377,7,0.662,0.626,0.374,0.304
88,소셜,볼링,37.51313359536034,127.16255659294488,evening,indoor,즐거운,20747,4,0.683,0.616,0.384,0.33
89,스터디,영어회화,37.61662923388037,126.8696736752272,evening,indoor,진지한,4721,5,0.668,0.583,0.417,0.309
90,취미활동,쿠킹,37.60220041132096,127.016602512849,afternoon,indoor,창의적인,30234,5,0.686,0.625,0.375,0.299
91,카페,디저트,37.625720736115845,127.14556132651764,morning,indoor,힐링,18562,7,0.686,0.639,0.361,0.31
92,카페,브런치,37.46852268847023,127.12888446212308,afternoon,indoor,여유로운,17881,7,0.692,0.657,0.343,0.302
93,카페,베이커리,37.45388262164819,127.09400927927128,afternoon,indoor,감성적인,11134,4,0.682,0.6,0.4,0.33
94,취미활동,그림,37.458198186867016,126.91394107064424,afternoon,indoor,여유로운,25626,9,0.689,0.699,0.301,0.298
95,스터디,재테크,37.58456846084006,126.97727203005786,evening,indoor,진지한,5061,5,0.67,0.543,0.457,0.331
96,소셜,당구,37.66209014679041,126.8302217975051,evening,indoor,활기찬,18461,6,0.671,0.569,0.431,0.331
97,취미활동,쿠킹,37.662894190974654,126.91919191786492,afternoon,indoor,즐거운,21013,4,0.68,0.663,0.337,0.304
98,소셜,방탈출,37.41411171602442,127.1516440895572,evening,indoor,활기찬,13989,5,0.653,0.56,0.44,0.278
99,맛집,이자카야,37.68473373706647,127.19944692766576,afternoon,indoor,여유로운,33174,5,0.684,0.66,0.34,0.327
100,소셜,보드게임,37.62927326636594,127.01584634024074,evening,indoor,활기찬,17325,6,0.645,0.55,0.45,0.315
101,맛집,일식,37.488201016578486,127.02395724061438,afternoon,indoor,여유로운,19178,5,0.698,0.632,0.368,0.306
102,취미활동,베이킹,37.48912886575192,126.82170847415574,afternoon,indoor,여유로운,16737,9,0.68,0.673,0.327,0.269
103,스포츠,등산,37.62618130533243,126.84415769369996,morning,outdoor,에너지 넘치는,708,8,0.663,0.565,0.435,0.324
104,맛집,이자카야,37.40244387445827,126.8852229402932,evening,indoor,여유로운,24381,4,0.679,0.677,0.323,0.292
105,취미활동,그림,37.63315577283189,126.91416211612112,evening,indoor,여유로운,16190,8,0.694,0.69,0.31,0.281
106,맛집,양식,37.45666105602886,127.08045645255343,afternoon,indoor,힐링,22437,4,0.7,0.673,0.327,0.319
107,취미활동,그림,37.60893133781067,126.86585089862616,evening,indoor,여유로운,22716,9,0.714,0.67,0.33,0.324
108,소셜,방탈출,37.54277189824196,126.81782801628503,evening,indoor,즐거운,18439,5,0.667,0.582,0.418,0.299
109,스터디,독서토론,37.49560917718562,126.9794170197474,evening,indoor,진지한,5009,5,0.661,0.564,0.436,0.286
110,카페,베이커리,37.657830374850064,126.90250196955564,morning,indoor,감성적인,18712,4,0.645,0.49,0.51,0.353
111,스포츠,축구,37.60510986371739,126.80787328615256,morning,outdoor,에너지 넘치는,4870,9,0.651,0.5,0.5,0.284
112,스포츠,러닝,37.61466884819967,127.088630610434,morning,outdoor,활기찬,8353,11,0.665,0.59,0.41,0.283
113,스터디,재테크,37.43629993025362,126.86748065712148,evening,indoor,진지한,2526,6,0.684,0.596,0.404,0.344
114,스터디,재테크,37.518906851590245,126.8311356612442,evening,indoor,진지한,2989,5,0.69,0.641,0.359,0.304
115,소셜,볼링,37.48736699557348,127.0456734895938,evening,indoor,즐거운,21294,9,0.683,0.593,0.407,0.322
116,소셜,볼링,37.40168939382441,126.8745267106074,evening,indoor,활기찬,17548,7,0.704,0.663,0.337,0.339
117,소셜,당구,37.413019153573565,126.93939119031826,evening,indoor,활기찬,22479,9,0.659,0.513,0.487,0.313
118,스터디,영어회화,37.54859529408017,126.9710767152134,evening,indoor,진지한,7648,4,0.683,0.622,0.378,0.286
119,스터디,코딩,37.6208052105096,127.02273776525382,evening,indoor,진지한,7432,4,0.671,0.6,0.4,0.32
120,취미활동,베이킹,37.45383357127425,126.8101682740718,afternoon,indoor,여유로운,26750,7,0.715,0.667,0.333,0.342
121,소셜,볼링,37.559693079013975,126.83034865648962,evening,indoor,즐거운,22337,8,0.693,0.645,0.355,0.334
122,카페,베이커리,37.54083045864621,127.08812916659144,morning,indoor,힐링,13954,5,0.674,0.653,0.347,0.294
123,스터디,재테크,37.68982996181945,127.13289517662449,evening,indoor,진지한,2276,5,0.707,0.692,0.308,0.335
124,문화예술,전시회,37.66724723945319,126.83778497032044,afternoon,indoor,감성적인,23981,5,0.688,0.594,0.406,0.339
125,취미활동,플라워,37.50893977707784,127.13788366683036,evening,indoor,창의적인,23817,4,0.669,0.607,0.393,0.303
126,취미활동,쿠킹,37.580757767037575,126.82852919576511,afternoon,indoor,즐거운,19207,7,0.695,0.687,0.313,0.307
127,문화예술,공연,37.50024092356285,126.84294444738026,afternoon,indoor,감성적인,5668,5,0.691,0.643,0.357,0.293
128,문화예술,공방체험,37.429401624461285,127.0815768329688,afternoon,indoor,창의적인,11199,9,0.665,0.56,0.44,0.309
129,맛집,이자카야,37.64801829451888,126.84276794575192,evening,indoor,힐링,32427,4,0.664,0.528,0.472,0.348
130,맛집,양식,37.4216815127034,127.07628041579969,afternoon,indoor,힐링,24479,7,0.673,0.549,0.451,0.339
131,맛집,한식,37.53176315327956,127.13730481712872,afternoon,indoor,여유로운,22784,4,0.704,0.654,0.346,0.311
132,카페,디저트,37.41845172093759,126.82053374852948,afternoon,indoor,힐링,13372,5,0.69,0.622,0.378,0.327
133,소셜,보드게임,37.475680726880256,126.86265895134544,evening,indoor,활기찬,14113,9,0.676,0.644,0.356,0.288
134,카페,카페투어,37.40426064685123,126.86136703176436,afternoon,indoor,힐링,10685,6,0.689,0.643,0.357,0.327
135,취미활동,플라워,37.50668659977727,127.11640162962615,evening,indoor,여유로운,17556,5,0.661,0.564,0.436,0.319
136,스포츠,사이클링,37.47887727428965,126.95019944880828,evening,outdoor,활기찬,3431,13,0.667,0.577,0.423,0.332
137,카페,카페투어,37.67283823941463,127.00799924961476,afternoon,indoor,여유로운,12278,6,0.684,0.613,0.387,0.312
138,스터디,영어회화,37.6321808386471,127.12553165263714,evening,indoor,진지한,3948,5,0.677,0.65,0.35,0.342
139,소셜,방탈출,37.65775671161647,126.98701753987751,evening,indoor,즐거운,23551,6,0.675,0.587,0.413,0.346
140,카페,카페투어,37.65508021830078,127.08254750874012,afternoon,indoor,힐링,11651,7,0.684,0.613,0.387,0.316
141,소셜,당구,37.532646841433845,126.82860120973264,evening,indoor,활기찬,23767,8,0.658,0.557,0.443,0.318
142,카페,베이커리,37.49908825264044,127.03814228900411,afternoon,indoor,여유로운,10475,4,0.708,0.663,0.337,0.314
143,카페,베이커리,37.608606275219564,126.84228982417244,morning,indoor,여유로운,12861,6,0.68,0.661,0.339,0.301
144,스터디,코딩,37.6754774503824,127.04120153617195,evening,indoor,진지한,6424,6,0.695,0.571,0.429,0.341
145,스포츠,축구,37.42804038107133,127.003140057255,evening,outdoor,활기찬,4163,8,0.653,0.571,0.429,0.309
146,스포츠,요가,37.57695031833192,126.88024654844986,morning,outdoor,활기찬,1618,10,0.651,0.542,0.458,0.348
147,맛집,중식,37.670636671473616,127.1669824887564,afternoon,indoor,힐링,21761,4,0.675,0.612,0.388,0.303
148,맛집,양식,37.478765069006,126.8157012212284,evening,indoor,여유로운,33615,4,0.679,0.615,0.385,0.329
149,문화예술,갤러리,37.57367495977782,126.95707964534355,afternoon,indoor,감성적인,15301,6,0.669,0.559,0.441,0.332
150,스터디,코딩,37.44797397350724,126.95925979740916,evening,indoor,진지한,4639,6,0.689,0.681,0.319,0.304
151,문화예술,공연,37.57615373844071,126.99059575894152,afternoon,indoor,감성적인,19432,7,0.673,0.558,0.442,0.317
152,스포츠,사이클링,37.6459604442581,127.02157669354186,evening,outdoor,에너지 넘치는,2855,8,0.673,0.654,0.346,0.316
153,스포츠,축구,37.48243707932654,126.84375997018414,morning,outdoor,활기찬,3190,10,0.678,0.6,0.4,0.301
154,맛집,일식,37.67007045722964,127.00919260604232,afternoon,indoor,여유로운,25021,6,0.688,0.711,0.289,0.314
155,스포츠,요가,37.55191092129567,127.06875680625456,morning,outdoor,활기찬,5021,6,0.66,0.588,0.412,0.313
156,취미활동,베이킹,37.54999317948872,126.8563615774752,evening,indoor,창의적인,27953,5,0.673,0.553,0.447,0.29
157,스터디,독서토론,37.54965530712328,126.88603409151403,evening,indoor,진지한,2174,7,0.693,0.646,0.354,0.331
158,스포츠,배드민턴,37.63790309228768,126.85305754978158,evening,outdoor,에너지 넘치는,7790,13,0.677,0.582,0.418,0.32
159,취미활동,그림,37.68985340745037,127.12841277883858,afternoon,indoor,여유로운,18723,7,0.704,0.673,0.327,0.318
160,문화예술,공방체험,37.48048465866184,127.13680968722598,evening,indoor,창의적인,21774,6,0.672,0.584,0.416,0.297
161,맛집,일식,37.40550671731374,126.924711058722,evening,indoor,여유로운,15233,7,0.664,0.59,0.41,0.336
162,문화예술,공방체험,37.55530360046929,127.1327296473544,afternoon,indoor,창의적인,11983,9,0.696,0.687,0.313,0.3
163,소셜,볼링,37.41081121324976,127.1731116498751,evening,indoor,즐거운,19711,5,0.659,0.532,0.468,0.32
164,카페,브런치,37.63054033869924,126.88865892584704,afternoon,indoor,감성적인,12427,4,0.66,0.558,0.442,0.293
